326,Park Pl & Church St,360,2
1634,Vesey Pl & River Terrace,495,1
849,Broadway & E 14 St,82,1
611,E 13 St & Avenue A,284,1
1060,Washington Square E,529,1
467,E 23 St & 1 Ave,438,1
512,Broadway & W 29 St,482,1
474,Canal St & Rutgers St,341,1
202,Allen St & E Houston St,531,1
274,E 7 St & Avenue A,504,1
538,Carmine St & 6 Ave,483,2
282,Broadway & W 60 St,468,1
335,Forsyth St & Broome St,438,1
846,W 16 St & The High Line,377,2
1497,W 13 St & 7 Ave,276,1
468,E 30 St & Park Ave S,280,1
686,Elizabeth St & Hester St,400,1
425,9 Ave & W 14 St,494,1
1277,Broadway & W 53 St,336,0
215,Greenwich Ave & 8 Ave,383,1
213,Greenwich Ave & 8 Ave,383,1
259,St Marks Pl & 2 Ave,393,1
396,E 2 St & 2 Ave,394,1
953,8 Ave & W 31 St,368,1
451,E 6 St & Avenue D,428,2
1314,St Marks Pl & 2 Ave,373,1
173,E 6 St & Avenue B,317,1
301,E 20 St & Park Ave,236,1
236,Allen St & E Houston St,349,2
392,Allen St & Rivington St,317,1
267,E 9 St & Avenue C,504,2
681,W 43 St & 10 Ave,472,1
473,W 54 St & 9 Ave,480,1
446,Centre St & Chambers St,360,1
654,Elizabeth St & Hester St,342,2
250,E 15 St & 3 Ave,537,1
636,W 25 St & 6 Ave,167,1
405,Greenwich Ave & Charles St,438,1
313,11 Ave & W 41 St,529,1
490,W 41 St & 8 Ave,449,1
343,E 11 St & 1 Ave,285,1
106,Pearl St & Hanover Square,415,1
272,Lefferts Pl & Franklin Ave,364,1
1065,Howard St & Centre St,348,1
873,Atlantic Ave & Fort Greene Pl,366,2
1761,Greenwich Ave & 8 Ave,479,1
30002,Greenwich Ave & 8 Ave,513,2
487,W 46 St & 11 Ave,524,1
879,Pearl St & Hanover Square,2008,1
400,E 3 St & 1 Ave,161,2
1149,Canal St & Rutgers St,280,1
475,Howard St & Centre St,300,2
405,Allen St & E Houston St,2009,1
195,E 7 St & Avenue A,439,1
127,Howard St & Centre St,2010,1
326,Duffield St & Willoughby St,467,1
834,W 52 St & 9 Ave,352,1
1288,W 41 St & 8 Ave,432,1
491,E 15 St & 3 Ave,482,2
469,9 Ave & W 14 St,521,1
458,DeKalb Ave & Hudson Ave,406,2
655,W 25 St & 6 Ave,438,2
29906,Washington Square E,368,0
725,State St & Smith St,421,1
1229,Mott St & Prince St,523,1
784,10 Ave & W 28 St,546,1
288,Christopher St & Greenwich St,470,1
649,W Houston St & Hudson St,146,1
1541,Little West St & 1 Pl,514,1
864,E 2 St & 2 Ave,368,1
396,Bank St & Washington St,368,1
442,E 7 St & Avenue A,475,1
607,W 24 St & 7 Ave,375,1
173,Washington Park,366,2
159,Washington Park,366,1
223,Washington Square E,368,1
1193,E 31 St & 3 Ave,318,1
300,10 Ave & W 28 St,442,1
421,Bond St & Schermerhorn St,391,2
745,Clinton Ave & Flushing Ave,310,1
485,W 33 St & 7 Ave,528,1
190,W 31 St & 7 Ave,446,1
747,W 20 St & 7 Ave,439,1
478,E 30 St & Park Ave S,446,1
934,6 Ave & W 33 St,2004,1
925,Division St & Bowery,394,1
433,E 30 St & Park Ave S,492,1
505,Howard St & Centre St,383,1
398,Pershing Square S,305,1
2625,Bond St & Schermerhorn St,395,0
772,W 18 St & 6 Ave,488,1
174,Bank St & Hudson St,116,1
531,St Marks Pl & 2 Ave,302,1
864,9 Ave & W 16 St,433,1
769,Rivington St & Ridge St,511,1
317,Perry St & Bleecker St,161,2
997,E 2 St & 2 Ave,531,1
524,W 52 St & 11 Ave,499,1
2289,Bond St & Schermerhorn St,395,0
431,Henry St & Atlantic Ave,324,1
296,W 37 St & 10 Ave,423,1
1061,Carmine St & 6 Ave,426,1
597,Rivington St & Ridge St,511,0
265,University Pl & E 14 St,475,1
363,W 47 St & 10 Ave,423,1
334,Forsyth St & Broome St,296,1
1375,Allen St & E Houston St,505,1
656,E 11 St & Broadway,247,1
115,10 Ave & W 28 St,512,1
587,E 47 St & 2 Ave,500,1
601,Broadway & W 29 St,335,2
384,Mott St & Prince St,368,1
312,E 11 St & 1 Ave,394,2
669,Broadway & Berry St,409,1
1100,Atlantic Ave & Fort Greene Pl,389,1
733,Barrow St & Hudson St,2021,1
743,Greenwich St & Warren St,223,1
477,Canal St & Rutgers St,332,1
227,Rivington St & Chrystie St,410,1
469,Canal St & Rutgers St,332,2
836,Canal St & Rutgers St,539,1
372,E 11 St & Broadway,236,1
1013,Allen St & E Houston St,316,1
166,Clinton St & Joralemon St,218,1
194,Fulton St & Clermont Ave,274,1
990,E 2 St & 2 Ave,360,0
236,W 20 St & 8 Ave,334,1
1147,9 Ave & W 16 St,376,1
309,Allen St & E Houston St,433,1
361,E 3 St & 1 Ave,325,1
517,E 20 St & Park Ave,439,1
827,W 13 St & 6 Ave,345,1
196,W 37 St & 10 Ave,529,1
1240,W 26 St & 10 Ave,428,1
435,Canal St & Rutgers St,312,1
665,Allen St & E Houston St,545,1
331,Allen St & E Houston St,326,1
1145,W 52 St & 5 Ave,457,1
554,W 13 St & 6 Ave,345,1
231,Christopher St & Greenwich St,284,1
700,Broadway & W 32 St,2021,1
497,W 20 St & 7 Ave,83,1
1024,W 25 St & 6 Ave,423,1
280,St Marks Pl & 2 Ave,410,1
133,E 15 St & 3 Ave,325,1
1064,Park Pl & Church St,334,1
468,Forsyth St & Canal St,342,1
1481,South St & Whitehall St,475,1
204,Greenwich Ave & 8 Ave,404,1
299,E 17 St & Broadway,223,2
178,Greenwich St & N Moore St,147,1
153,Greenwich Ave & Charles St,369,1
409,E 4 St & 2 Ave,368,1
1657,Madison St & Montgomery St,247,2
603,9 Ave & W 14 St,514,1
753,E 55 St & 2 Ave,326,1
249,MacDougal St & Prince St,151,1
722,Mercer St & Bleecker St,482,1
